author,title,url,text,created,modified,date,author_url,tid
,WebMoney.UA отримала офіційний статус внутрішньодержавної системи розрахунків,https://dou.ua/forums/topic/13853/,,,,,https://dou.ua/users/CB/,13853
,"Фабрики — рабочим, коворкинги — фрилансерам!",https://dou.ua/forums/topic/14129/,,,,,https://dou.ua/users/xtfkpi/,14129
,"Посоветуйте, с чего начать изучение разработки электронних устройств",https://dou.ua/forums/topic/14239/,,,,,https://dou.ua/users/dmitrij-kostyushko/,14239
,Карты привата за границей,https://dou.ua/forums/topic/9957/,,,,,https://dou.ua/users/aleksandr-petrov/,9957
,"Как определить, стоит ли реализовывать себя в сфере IT?",https://dou.ua/forums/topic/14233/,,,,,https://dou.ua/users/misha-makashin/,14233
author,title,url,text,created,modified,date,author_url,tid
,"Поделитесь номером риэлтора или норм. агенства, Киев",https://dou.ua/forums/topic/14705/,,,,,https://dou.ua/users/dmitriy-slipchenko/,14705
,Decision Support Systems: литература и развитие,https://dou.ua/forums/topic/14733/,,,,,https://dou.ua/users/pavlo-roik/,14733
,"Помогите с ремонтом macbook pro 13 mid 2010 (mc375, 2.66GHZ, nvidia 320m)",https://dou.ua/forums/topic/14734/,,,,,https://dou.ua/users/evgenij-strashko/,14734
,Войти в IT. Памятка будущему PM,https://dou.ua/forums/topic/14680/,,,,,https://dou.ua/users/ilya-martyn/,14680
,Як заставляти себе працювати?,https://dou.ua/forums/topic/14664/,,,,,https://dou.ua/users/Robotex/,14664
,Встречи мануальщиков QA,https://dou.ua/forums/topic/14662/,,,,,https://dou.ua/users/sergej-scherbakov/,14662
author,title,url,text,created,modified,date,author_url,tid
,ІСМ ЧИ САПР (ЛП)?,https://dou.ua/forums/topic/10662/,,,,,https://dou.ua/users/olena-tkachuk/,10662
,Big Data. С чего начать?,https://dou.ua/forums/topic/14219/,,,,,https://dou.ua/users/dev.demi/,14219
,Инвестиции в разработку приложений,https://dou.ua/forums/topic/7622/,,,,,https://dou.ua/users/nika-ejrushevich/,7622
,Paypal Двойная конвертация и карта в гривне,https://dou.ua/forums/topic/6408/,,,,,https://dou.ua/users/andrey-volosovich/,6408
