date,id,url,title,text
,,https://dou.ua/forums/topic/1063/,"Куда двигаться дальше? Область Front-End Web-Dev.
 | DOU",
,,https://dou.ua/forums/topic/1051/,"move to mobile (iPhones, Nokia Smartphones or Blackberry) | DOU",
,,https://dou.ua/forums/topic/897/,"Сайт по программированию
 | DOU",
,,https://dou.ua/forums/topic/1065/,"Вопрос к веб-программистам.
 | DOU",
,,https://dou.ua/forums/topic/768/,"Компании Киева, занимающиеся научными исследованиями и разработкой
 | DOU",
,,https://dou.ua/forums/topic/1072/,"Книги по LINQ и Entity Framework
 | DOU",
,,https://dou.ua/forums/topic/992/,"Корреспондент сравнил зарплаты в Украине и других странах мира
 | DOU",
,,https://dou.ua/forums/topic/1066/,"Как вы относитесь к грамматическим ошибкам в блогах и статьях?
 | DOU",
,,https://dou.ua/forums/topic/1083/,Прошу рецензію на C++ код | DOU,
,,https://dou.ua/forums/topic/1055/,"Большая компания vs маленькая — где лучше работать
 | DOU",
,,https://dou.ua/forums/topic/1084/,"Как получить первый опыт работы?
 | DOU",
,,https://dou.ua/forums/topic/15328/,Обе части пирога | DOU,
,,https://dou.ua/forums/topic/2015/,Где можно дешево пожить во Львове пару-тройку дней? | DOU,
,,https://dou.ua/forums/topic/16059/,Где и как найти тех. ментора? | DOU,
,,https://dou.ua/forums/topic/5879/,Какой факультет в КПИ выбрать? | DOU,
,,https://dou.ua/forums/topic/8086/,Из филологов в IT? | DOU,
,,https://dou.ua/forums/topic/16205/,Нужен отзыв о СОФТ-ТЕРРА | DOU,
,,https://dou.ua/forums/topic/11753/,Time-tracking або чого ви морочите мені голову зайвим...? | DOU,
,,https://dou.ua/forums/topic/13609/,Тестовое задание или развод? | DOU,
,,https://dou.ua/forums/topic/15349/,Тайловые оконные менеджеры под Linux | DOU,
,,https://dou.ua/forums/topic/10815/,Собеседование уборщицы в ИТ компанию | DOU,
,,https://dou.ua/forums/topic/13362/,Развод от компании Skillup? | DOU,
,,https://dou.ua/forums/topic/4408/,Coworking в Киеве | DOU,
,,https://dou.ua/forums/topic/16117/,"Релокация в Польшу (через Oświadczenie), воссоединение с семьей | DOU",
,,https://dou.ua/forums/topic/762/,"А почему бы не писать идентификаторы кирилицей?
 | DOU",
,,https://dou.ua/forums/topic/8090/,Хочу стать программистом. С того ли начал? | DOU,
,,https://dou.ua/forums/topic/829/,"Теорія кризи або нав""язана бідність
 | DOU",
,,https://dou.ua/forums/topic/839/,WinSocks 2 & raw sockets | DOU,
,,https://dou.ua/forums/topic/750/,"Вопрос о ASP.NET
 | DOU",
,,https://dou.ua/forums/topic/840/,Впізнайте модель клавіатури | DOU,
,,https://dou.ua/forums/topic/855/,Банковский счет или Payoneer | DOU,
,,https://dou.ua/forums/topic/9824/,Нужны кодеры для создания украинских беспилотников | DOU,
,,https://dou.ua/forums/topic/859/,"Кризис консультанту не помеха
 | DOU",
